Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
290270,KR7290270008,휴네시온,KOSDAQ,벤처기업부,4510,2,-20,-0.44,4510,4525,4475,5901,26503800,43234524000,9607672,KSQ
008470,KR7008470007,부스타,KOSDAQ,우량기업부,5110,2,-20,-0.39,5090,5150,5030,6904,35126370,43200672000,8404800,KSQ
332290,KR7332290006,누보,KOSDAQ,벤처기업부,1309,2,-8,-0.61,1323,1323,1286,165770,215394689,43171126515,33081323,KSQ
020180,KR7020180006,대신정보통신,KOSDAQ,중견기업부,1121,2,-4,-0.36,1124,1124,1109,252542,281682711,43001955885,38428915,KSQ
361670,KR7361670003,삼영에스앤씨,KOSDAQ,기술성장기업부,7590,1,130,1.74,7410,7590,7400,27501,206701060,42960847640,5667658,KSQ
050760,KR7050760008,에스폴리텍,KOSDAQ,중견기업부,2635,1,90,3.54,2545,2645,2545,83298,217204665,42960203140,16334678,KSQ
000760,KR7000760009,이화산업,KOSPI,,15350,1,50,0.33,15310,15690,15310,331,5083030,42952000000,2800000,STK
016920,KR7016920001,카스,KOSDAQ,중견기업부,1610,3,0,0.0,1619,1625,1606,31347,50614208,42919531560,26493538,KSQ
109960,KR7109960005,에이프로젠 H&G,KOSDAQ,중견기업부,239,0,0,0.0,0,0,0,0,0,42708156863,178695217,KSQ
145270,KR7145270005,케이탑리츠,KOSPI,,895,3,0,0.0,890,902,884,90102,80076397,42677967312,48060774,STK
064090,KR7064090004,에프앤리퍼블릭,KOSDAQ,관리종목(소속부없음),2115,3,0,0.0,2100,2125,2075,59730,124818735,42664869835,20365093,KSQ
067730,KR7067730002,로지시스,KOSDAQ,중견기업부,4375,2,-40,-0.91,4440,4440,4370,30829,135591085,42661996020,9673922,KSQ
403360,KR7403360001,라피치,KONEX,일반기업부,14650,2,-50,-0.34,0,0,0,0,0,42543600000,2904000,KNX
118000,KR7118000009,초록뱀헬스케어,KOSPI,,500,2,-2,-0.4,504,508,496,153877,77119980,42437197485,84704985,STK
008600,KR7008600009,윌비스,KOSPI,,634,1,24,3.93,615,642,607,225217,141058453,42291468531,67236039,STK
002290,KR7002290005,삼일기업공사,KOSDAQ,중견기업부,3410,1,25,0.74,3385,3410,3350,37124,125505955,42222000000,12400000,KSQ
024070,KR7024070005,WISCOM,KOSPI,,2750,1,25,0.92,2725,2760,2710,9029,24640220,42147704500,15326438,STK
031510,KR7031510001,오스템,KOSDAQ,중견기업부,1486,2,-4,-0.27,1515,1515,1480,38182,57054678,42140000000,28000000,KSQ
075130,KR7075130005,플랜티넷,KOSDAQ,벤처기업부,2550,1,15,0.59,2505,2590,2470,64249,161612275,42137581200,16622320,KSQ
027040,KR7027040005,서울전자통신,KOSDAQ,중견기업부,607,2,-3,-0.49,616,616,600,72212,43609422,42101252435,69588847,KSQ
328380,KR7328380001,솔트웨어,KOSDAQ,벤처기업부,1215,2,-13,-1.06,1228,1244,1211,91528,111602317,41937640272,34262778,KSQ
044480,KR7044480002,블레이드 Ent,KOSDAQ,중견기업부,1268,2,-22,-1.71,1283,1300,1250,78317,99433388,41866815384,32555844,KSQ
