종목코드,종목명,날짜,개인,외국인,기관계,금융투자,보험,투신,은행,기타금융,연기금,기타법인,기타외인,사모펀드
A300080,플리토,20220824,1078,-1086,-1,-1,0,0,0,0,0,9,0,0
A300080,플리토,20220826,1842,-841,0,0,0,0,0,0,0,-1001,0,0
A300080,플리토,20220829,-103,90,0,0,0,0,0,0,0,0,13,0
A300080,플리토,20220831,561,-576,0,0,0,0,0,0,0,-1,16,0
A300080,플리토,20220830,198,-197,0,0,0,0,0,0,0,-1,0,0
A300080,플리토,20220902,840,-420,0,0,0,0,0,0,0,-420,0,0
A300080,플리토,20220901,-171,171,0,0,0,0,0,0,0,0,0,0
A300080,플리토,20220906,-4468,4574,0,0,0,0,0,0,0,0,-106,0
A300080,플리토,20220905,-686,686,0,0,0,0,0,0,0,0,0,0
A300080,플리토,20220908,3691,-3583,0,0,0,0,0,0,0,0,-108,0
A300080,플리토,20220907,1004,-965,0,0,0,0,0,0,0,0,-39,0
A300080,플리토,20220914,-15111,9471,7719,4717,0,625,0,0,0,-1709,-370,2377
A300080,플리토,20220913,-16104,10241,7942,4716,0,849,0,0,0,-1709,-370,2377
A300080,플리토,20220916,5066,-5066,0,0,0,0,0,0,0,0,0,0
A300080,플리토,20220915,3050,-3050,0,0,0,0,0,0,0,0,0,0
A300080,플리토,20220920,2416,-2421,5,5,0,0,0,0,0,0,0,0
A300080,플리토,20220919,1319,-1324,5,5,0,0,0,0,0,0,0,0
A300080,플리토,20220922,-267,-934,576,885,0,0,0,0,0,625,0,-309
A300080,플리토,20220921,-2154,1578,576,885,0,0,0,0,0,0,0,-309
A300080,플리토,20220923,1009,-1009,0,0,0,0,0,0,0,0,0,0
A300080,플리토,20220926,1108,-376,-700,-700,0,0,0,0,0,-312,280,0
A300080,플리토,20220928,-10552,5108,0,0,0,0,0,0,0,5444,0,0
A300080,플리토,20220927,-7290,4475,0,0,0,0,0,0,0,2815,0,0
A300080,플리토,20220930,-9005,6449,0,0,0,0,0,0,0,2556,0,0
A300080,플리토,20220929,-9048,6366,126,0,0,126,0,0,0,2556,0,0
A300080,플리토,20221004,496,-408,0,0,0,0,0,0,0,0,-88,0
A300080,플리토,20221006,77,-1296,1219,1219,0,0,0,0,0,0,0,0
A300080,플리토,20221005,1917,-2937,1020,1020,0,0,0,0,0,0,0,0
A300080,플리토,20221007,1592,-1646,0,0,0,0,0,0,0,18,36,0
A300080,플리토,20221012,3943,-4443,0,0,0,0,0,0,0,500,0,0
A300080,플리토,20221011,1704,-1704,0,0,0,0,0,0,0,0,0,0
A300080,플리토,20221014,4937,-3387,-1649,0,0,0,0,0,0,129,-30,-1649
A300080,플리토,20221013,2907,-2258,-1649,0,0,0,0,0,0,1000,0,-1649
A300080,플리토,20221018,1175,-2234,0,0,0,0,0,0,0,1000,59,0
A300080,플리토,20221017,456,-415,0,0,0,0,0,0,0,0,-41,0
A300080,플리토,20221020,3230,270,0,0,0,0,0,0,0,-3500,0,0
A300080,플리토,20221019,1646,-896,0,0,0,0,0,0,0,-750,0,0
A300080,플리토,20221021,1956,-1956,0,0,0,0,0,0,0,0,0,0
A300080,플리토,20221024,1236,-1128,0,0,0,0,0,0,0,-72,-36,0
A300080,플리토,20221026,2172,-173,0,0,0,0,0,0,0,-801,-1198,0
A300080,플리토,20221025,1137,861,0,0,0,0,0,0,0,-800,-1198,0
A300080,플리토,20221028,1587,-1187,0,0,0,0,0,0,0,-400,0,0
A300080,플리토,20221027,333,-333,0,0,0,0,0,0,0,0,0,0
A300080,플리토,20221101,-300,-349,500,500,0,0,0,0,0,0,149,0
A300080,플리토,20221031,378,-423,0,0,0,0,0,0,0,0,45,0
A300080,플리토,20221103,-287,1032,0,0,0,0,0,0,0,-745,0,0
A300080,플리토,20221102,169,631,0,0,0,0,0,0,0,-800,0,0
A300080,플리토,20221104,-399,350,0,0,0,0,0,0,0,0,49,0
A300080,플리토,20221107,-341,695,0,0,0,0,0,0,0,-318,-36,0
A300080,플리토,20221109,1901,-1201,0,0,0,0,0,0,0,-700,0,0
A300080,플리토,20221108,975,-280,0,0,0,0,0,0,0,-700,5,0
A300080,플리토,20221111,307,-893,0,0,0,0,0,0,0,386,200,0
A300080,플리토,20221110,491,-491,0,0,0,0,0,0,0,0,0,0
A300080,플리토,20221115,755,-664,0,0,0,0,0,0,0,-91,0,0
A300080,플리토,20221114,730,-789,0,0,0,0,0,0,0,59,0,0
A300080,플리토,20221117,-2643,5622,5,5,0,0,0,0,0,-2655,-329,0
A300080,플리토,20221116,-3845,5745,0,0,0,0,0,0,0,-1555,-345,0
A300080,플리토,20221118,6203,-8055,0,0,0,0,0,0,0,1852,0,0
A300080,플리토,20221121,1933,-2532,499,499,0,0,0,0,0,0,100,0
A300080,플리토,20221123,3112,-5695,0,0,0,0,0,0,0,2382,201,0
A300080,플리토,20221122,1104,-1906,0,0,0,0,0,0,0,702,100,0
A300080,플리토,20221125,4019,-4356,-930,-930,0,0,0,0,0,1122,145,0
