종목코드,종목명,날짜,개인,외국인,기관계,금융투자,보험,투신,은행,기타금융,연기금,기타법인,기타외인,사모펀드
A079970,투비소프트,20220914,-15254,48976,0,0,0,0,0,0,0,-33722,0,0
A079970,투비소프트,20220913,1362,32360,0,0,0,0,0,0,0,-33722,0,0
A079970,투비소프트,20220916,60415,-60417,0,0,0,0,0,0,0,0,2,0
A079970,투비소프트,20220915,-8505,8505,0,0,0,0,0,0,0,0,0,0
A079970,투비소프트,20220920,7001,-8000,0,0,0,0,0,0,0,0,999,0
A079970,투비소프트,20220919,40364,-41364,0,0,0,0,0,0,0,0,1000,0
A079970,투비소프트,20220922,-30370,5137,0,0,0,0,0,0,0,25233,0,0
A079970,투비소프트,20220921,-27091,8858,0,0,0,0,0,0,0,18233,0,0
A079970,투비소프트,20220923,21018,-26568,0,0,0,0,0,0,0,8000,-2450,0
A079970,투비소프트,20220926,-2075,-20925,0,0,0,0,0,0,0,23000,0,0
A079970,투비소프트,20220928,252937,112064,2,2,0,0,0,0,0,-360160,-4843,0
A079970,투비소프트,20220927,-47288,106998,0,0,0,0,0,0,0,-61290,1580,0
A079970,투비소프트,20220930,249499,-123482,-1,-1,0,0,0,0,0,-125016,-1000,0
A079970,투비소프트,20220929,63248,-13248,0,0,0,0,0,0,0,-50000,0,0
A079970,투비소프트,20221004,79829,-34068,0,0,0,0,0,0,0,-45000,-761,0
A079970,투비소프트,20221006,20585,90193,0,0,0,0,0,0,0,-107850,-2928,0
A079970,투비소프트,20221005,-32268,32444,0,0,0,0,0,0,0,-867,691,0
A079970,투비소프트,20221007,-2300,98055,8050,0,0,8050,0,0,0,-110000,6195,0
A079970,투비소프트,20221012,274093,-92029,1793,0,0,1793,0,0,0,-188110,4253,0
A079970,투비소프트,20221011,111356,35437,5538,0,0,5538,0,0,0,-155837,3506,0
A079970,투비소프트,20221014,41104,-43804,0,0,0,0,0,0,0,0,2700,0
A079970,투비소프트,20221013,35718,-38418,0,0,0,0,0,0,0,0,2700,0
A079970,투비소프트,20221018,-13346,14701,-984,0,0,-984,0,0,0,3007,-3378,0
A079970,투비소프트,20221017,30049,-21743,0,0,0,0,0,0,0,-4559,-3747,0
A079970,투비소프트,20221020,-239188,170780,-1,-1,0,0,0,0,0,63908,4501,0
A079970,투비소프트,20221019,-151153,76664,-1,-1,0,0,0,0,0,69709,4781,0
A079970,투비소프트,20221021,-51975,71632,0,0,0,0,0,0,0,-20166,509,0
A079970,투비소프트,20221024,-33392,33394,0,0,0,0,0,0,0,0,-2,0
A079970,투비소프트,20221026,212275,-211936,0,0,0,0,0,0,0,-806,467,0
A079970,투비소프트,20221025,171083,-170655,0,0,0,0,0,0,0,-427,-1,0
A079970,투비소프트,20221028,103059,-97548,0,0,0,0,0,0,0,-5149,-362,0
A079970,투비소프트,20221027,60636,-55135,0,0,0,0,0,0,0,-5149,-352,0
A079970,투비소프트,20221101,-14210,-15782,0,0,0,0,0,0,0,30000,-8,0
A079970,투비소프트,20221031,27081,-27073,0,0,0,0,0,0,0,0,-8,0
A079970,투비소프트,20221103,-88110,58110,0,0,0,0,0,0,0,30000,0,0
A079970,투비소프트,20221102,-34814,34814,0,0,0,0,0,0,0,0,0,0
A079970,투비소프트,20221104,-13683,13683,0,0,0,0,0,0,0,0,0,0
A079970,투비소프트,20221107,55235,-55235,0,0,0,0,0,0,0,0,0,0
A079970,투비소프트,20221109,-30067,67179,2878,0,0,2878,0,0,0,-39990,0,0
A079970,투비소프트,20221108,-31701,11701,0,0,0,0,0,0,0,20000,0,0
A079970,투비소프트,20221111,34756,-77949,0,0,0,0,0,0,0,44044,-851,0
A079970,투비소프트,20221110,-25735,-18843,0,0,0,0,0,0,0,44044,534,0
A079970,투비소프트,20221115,-78924,66864,0,0,0,0,0,0,0,12060,0,0
A079970,투비소프트,20221114,-41508,41508,0,0,0,0,0,0,0,0,0,0
A079970,투비소프트,20221117,36045,-36045,0,0,0,0,0,0,0,0,0,0
A079970,투비소프트,20221116,-16468,16352,116,0,0,116,0,0,0,0,0,0
A079970,투비소프트,20221118,24744,-9744,0,0,0,0,0,0,0,-15000,0,0
A079970,투비소프트,20221121,-50743,123665,0,0,0,0,0,0,0,-72922,0,0
A079970,투비소프트,20221123,89067,-89067,0,0,0,0,0,0,0,0,0,0
A079970,투비소프트,20221122,50073,-50073,0,0,0,0,0,0,0,0,0,0
A079970,투비소프트,20221125,-34756,-26896,0,0,0,0,0,0,0,61652,0,0
A079970,투비소프트,20221124,2011,-8979,0,0,0,0,0,0,0,6968,0,0
A079970,투비소프트,20221129,-1484,6219,0,0,0,0,0,0,0,-5913,1178,0
A079970,투비소프트,20221128,13155,-14321,0,0,0,0,0,0,0,-12,1178,0
A079970,투비소프트,20221201,62779,-36327,0,0,0,0,0,0,0,-26951,499,0
A079970,투비소프트,20221130,37782,-11756,0,0,0,0,0,0,0,-26525,499,0
A079970,투비소프트,20221202,-7292,7368,0,0,0,0,0,0,0,-106,30,0
A079970,투비소프트,20221205,818,-800,0,0,0,0,0,0,0,-18,0,0
A079970,투비소프트,20221207,36986,-36432,0,0,0,0,0,0,0,-555,1,0
A079970,투비소프트,20221206,39894,-39894,0,0,0,0,0,0,0,-3,3,0
A079970,투비소프트,20221209,-17015,17028,0,0,0,0,0,0,0,-13,0,0
A079970,투비소프트,20221208,-13729,13742,0,0,0,0,0,0,0,-13,0,0
A079970,투비소프트,20221213,2715,-1537,-1174,0,0,-1174,0,0,0,-4,0,0
A079970,투비소프트,20221212,9915,-9911,0,0,0,0,0,0,0,-4,0,0
A079970,투비소프트,20221215,9528,-8186,-1341,0,0,-1341,0,0,0,-1,0,0
A079970,투비소프트,20221214,-859,859,0,0,0,0,0,0,0,0,0,0
