¡æ∏Òƒ⁄µÂ,¡æ∏Ò∏Ì,≥Ø¬•,∞≥¿Œ,ø‹±π¿Œ,±‚∞¸∞Ë,±›¿∂≈ı¿⁄,∫∏«Ë,≈ıΩ≈,¿∫«‡,±‚≈∏±›¿∂,ø¨±‚±›,±‚≈∏π˝¿Œ,±‚≈∏ø‹¿Œ,ªÁ∏∆›µÂ
A338220,∫‰≥Î,20230609,-57010,-41668,190907,-2579,-12187,118505,0,0,-3791,-91829,-400,90959
A338220,∫‰≥Î,20230608,52357,44714,5266,-5922,-12617,38212,0,0,-3791,-102475,138,-10616
A338220,∫‰≥Î,20230613,334962,-232494,-62836,18539,-6315,37907,0,0,-49609,-38486,-1146,-63358
A338220,∫‰≥Î,20230612,185110,-114189,-25127,4593,-6315,18552,0,0,-29732,-43901,-1893,-12225
A338220,∫‰≥Î,20230615,9582,50721,-49108,-33908,5519,-12783,0,0,600,-9263,-1932,-8536
A338220,∫‰≥Î,20230614,19330,45464,-51474,-37874,5519,-12783,0,0,0,-10954,-2366,-6336
A338220,∫‰≥Î,20230616,-52196,62292,-5396,1115,5497,-505,0,0,0,-4068,-632,-11503
A338220,∫‰≥Î,20230619,-22443,-29319,58180,40019,0,11873,0,0,0,-6737,319,6288
A338220,∫‰≥Î,20230621,-81913,-25445,53816,-1504,5116,3792,0,0,2242,54442,-900,44170
A338220,∫‰≥Î,20230620,-62271,-25108,27736,-690,0,-9460,0,0,1256,62074,-2431,36630
A338220,∫‰≥Î,20230623,49590,-34543,-25612,-7645,-1442,995,0,0,30033,8967,1598,-47553
A338220,∫‰≥Î,20230622,-3146,-7351,4753,4530,221,294,0,0,3367,3152,2592,-3659
