,Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
33,009150,KR7009150004,삼성전기,KOSPI,,149600,1,1600,1.08,149000,149900,147300,308485,46025847200,11174176921600,74693696,STK
34,000810,KR7000810002,삼성화재,KOSPI,,224000,2,-1500,-0.67,225500,226500,220500,154326,34467546500,10611963488000,47374837,STK
35,017670,KR7017670001,SK텔레콤,KOSPI,,47200,2,-900,-1.87,48200,48300,47200,2107920,99906298000,10328924396800,218833144,STK
36,010130,KR7010130003,고려아연,KOSPI,,507000,1,3000,0.6,508000,515000,505000,63319,32148210000,10070621106000,19863158,STK
37,259960,KR7259960003,크래프톤,KOSPI,,203500,3,0,0.0,201000,209000,201000,218142,44479710000,9841818200500,48362743,STK
38,018260,KR7018260000,삼성에스디에스,KOSPI,,124300,2,-100,-0.08,124900,125400,123200,109754,13619614400,9618060540000,77377800,STK
39,066970,KR7066970005,엘앤에프,KOSDAQ GLOBAL,우량기업부,264500,1,9000,3.52,261000,266000,255500,688354,180285367500,9585420752000,36239776,KSQ
40,011200,KR7011200003,HMM,KOSPI,,19250,1,100,0.52,19260,19300,18970,1488202,28493725260,9414010298000,489039496,STK
41,138040,KR7138040001,메리츠금융지주,KOSPI,,43900,1,1300,3.05,43000,43900,42750,2026309,88638588450,9140763966200,208217858,STK
42,003490,KR7003490000,대한항공,KOSPI,,24250,1,1100,4.75,23600,24350,23550,4389820,105692463250,8929351029250,368220661,STK
43,316140,KR7316140003,우리금융지주,KOSPI,,11890,2,-20,-0.17,11950,12000,11860,2091946,24913576860,8656639927610,728060549,STK
44,024110,KR7024110009,기업은행,KOSPI,,10290,1,20,0.19,10320,10380,10280,1298792,13385950040,8205512192010,797425869,STK
45,010950,KR7010950004,S-Oil,KOSPI,,72600,2,-200,-0.27,73400,73500,72300,367971,26710792700,8173510699200,112582792,STK
46,009830,KR7009830001,한화솔루션,KOSPI,,46950,1,650,1.4,46600,47700,46500,1257435,59082687400,8070354565200,171892536,STK
47,009540,KR7009540006,HD한국조선해양,KOSPI,,114000,1,5300,4.88,109700,114500,109000,612719,69258670000,8068135224000,70773116,STK
48,030200,KR7030200000,KT,KOSPI,,30650,2,-100,-0.33,30750,30850,30500,724793,22167658100,8003076915200,261111808,STK
49,051900,KR7051900009,LG생활건강,KOSPI,,510000,1,2000,0.39,511000,518000,509000,94598,48350309000,7965280470000,15618197,STK
50,011170,KR7011170008,롯데케미칼,KOSPI,,174700,1,600,0.34,175600,178200,174400,107952,18961549900,7472865699300,42775419,STK
51,011070,KR7011070000,LG이노텍,KOSPI,,313500,2,-3500,-1.1,319500,321000,311000,157009,49396511500,7419638044500,23667107,STK
52,377300,KR7377300009,카카오페이,KOSPI,,54000,1,300,0.56,53900,55000,53700,259476,14038254700,7237893024000,134035056,STK
53,086280,KR7086280005,현대글로비스,KOSPI,,192700,2,-1700,-0.87,196100,198000,191700,139505,26988014400,7226250000000,37500000,STK
54,042660,KR7042660001,한화오션,KOSPI,,33150,1,3550,11.99,29800,34500,29400,5781707,188191499400,7018826692800,211729312,STK
55,402340,KR7402340004,SK스퀘어,KOSPI,,47550,2,-350,-0.73,47900,48050,46950,276192,13103296850,6726783001050,141467571,STK
56,326030,KR7326030004,SK바이오팜,KOSPI,,85800,1,6000,7.52,80400,86500,80300,693322,58964869100,6719276850000,78313250,STK
57,361610,KR7361610009,SK아이이테크놀로지,KOSPI,,94100,1,200,0.21,94000,94700,92200,441322,41286968900,6709103407200,71297592,STK
58,047050,KR7047050000,포스코인터내셔널,KOSPI,,37800,1,1600,4.42,36700,38050,36500,2995152,112075334000,6649881386400,175922788,STK
59,036570,KR7036570000,엔씨소프트,KOSPI,,302500,2,-6500,-2.1,309000,310000,302000,219560,66772604500,6641091655000,21954022,STK
60,005070,KR7005070008,코스모신소재,KOSPI,,215000,2,-6000,-2.71,223000,223500,209000,587750,125885611500,6589912540000,30650756,STK
61,302440,KR7302440003,SK바이오사이언스,KOSPI,,80900,1,2400,3.06,78700,81300,78600,408060,32832727900,6211829321400,76784046,STK
62,090430,KR7090430000,아모레퍼시픽,KOSPI,,104700,1,1400,1.36,103600,106500,103600,272945,28694758800,6124191867300,58492759,STK
63,010140,KR7010140002,삼성중공업,KOSPI,,6890,1,120,1.77,6810,6960,6730,11941781,81872564630,6063200000000,880000000,STK
64,241560,KR7241560002,두산밥캣,KOSPI,,60400,2,-300,-0.49,60600,61700,59900,1689521,102135177000,6055049626400,100249166,STK
65,034220,KR7034220004,LG디스플레이,KOSPI,,16590,1,130,0.79,16560,16850,16530,1982990,33056776840,5936162463000,357815700,STK
66,012450,KR7012450003,한화에어로스페이스,KOSPI,,116800,1,5400,4.85,112300,118000,112200,1152941,133156238300,5913584000000,50630000,STK
67,088980,KR7088980008,맥쿼리인프라,KOSPI,,13350,2,-40,-0.3,13400,13430,13340,961762,12883172010,5404688052450,404845547,STK
68,028050,KR7028050003,삼성엔지니어링,KOSPI,,27550,1,250,0.92,27400,27850,27350,777253,21417660500,5399800000000,196000000,STK
69,005830,KR7005830005,DB손해보험,KOSPI,,75900,2,-100,-0.13,76400,77000,74500,137442,10390175500,5373720000000,70800000,STK
70,047810,KR7047810007,한국항공우주,KOSPI,,54000,1,1500,2.86,52900,54200,52900,881578,47360077400,5263655778000,97475107,STK
71,383220,KR7383220001,F&F,KOSPI,,135200,1,4600,3.52,131100,135600,131100,142103,19112540800,5179116540000,38307075,STK
72,271560,KR7271560005,오리온,KOSPI,,128300,1,1700,1.34,126500,128300,124600,127594,16180481800,5072485735600,39536132,STK
73,018880,KR7018880005,한온시스템,KOSPI,,9330,1,10,0.11,9380,9430,9290,582634,5436299600,4980354000000,533800000,STK
74,267250,KR7267250009,HD현대,KOSPI,,61300,1,2200,3.72,59500,61300,59300,700901,42754052900,4842276110500,78993085,STK
75,035900,KR7035900000,JYP Ent.,KOSDAQ GLOBAL,우량기업부,136000,2,-1000,-0.73,137400,137900,135000,261448,35705945100,4827658912000,35497492,KSQ
76,032640,KR7032640005,LG유플러스,KOSPI,,10850,1,30,0.28,10870,10920,10780,1297080,14046579140,4737233266850,436611361,STK
